gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,avg_charge_per_tenure,high_monthly_charge,short_tenure,is_long_term_contract,customer_id,actual_churn,churn_risk_score,risk_level,recommended_action
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),114.05,8468.2,116.0027397260274,1,0,1,4376-KFVRS,0,0.1174284391643026,Low Risk,Normal monitoring
Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.15,908.55,100.95,1,1,0,2754-SDJRD,0,0.8153112299288369,High Risk,Offer long-term contract discount
Female,0,Yes,Yes,41,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),78.35,3211.2,76.45714285714286,1,0,1,9917-KWRBE,0,0.1535014475980082,Low Risk,Normal monitoring
Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.2,1468.75,77.30263157894737,1,0,0,0365-GXEZS,0,0.5516170554595521,Medium Risk,Send satisfaction survey and retention message
Female,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),82.65,5919.35,81.08698630136986,1,0,1,9385-NXKDA,0,0.0750332378082559,Low Risk,Normal monitoring
Female,0,No,No,21,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.85,1992.55,90.57045454545454,1,0,0,4686-UXDML,0,0.7899495606891199,High Risk,Offer long-term contract discount
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.15,1956.4,88.92727272727274,1,0,0,2227-JRSJX,0,0.6749224675994339,Medium Risk,Send satisfaction survey and retention message
Male,0,No,Yes,19,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),24.1,439.2,21.96,0,0,0,4830-FAXFM,0,0.287259434868874,Low Risk,Normal monitoring
Female,0,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.75,1311.6,21.154838709677417,0,0,1,1830-IPXVJ,0,0.012397905542102,Low Risk,Normal monitoring
Male,1,No,No,17,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.05,770.6,42.81111111111111,0,0,0,4690-LLKUA,1,0.5513210033421593,Medium Risk,Send satisfaction survey and retention message
